    1      -0.8109       0.7198   5
    2      -0.7575       0.8922   6
    3      -0.6920       1.1286   6
    4      -0.5782       1.2567   6
    5      -0.5129       1.2869   6
    6      -0.3558       1.2257   6
    7      -0.1904       1.1545   6
    8      -0.0311       1.1059   6
    9       0.1486       1.2091   7
   10       0.4052       1.3614   7
   11       0.7052       1.6711   7
   12       1.0240       1.9521   7
   13       1.4243       2.0748   7
   14       1.8547       1.9300   7
   15       2.2850       1.6779   8
   16       2.6737       1.2429   8
   17       2.9351       0.6034   8
   18       3.0675      -0.0884   1
   19       3.0289      -0.7319   1
   20       2.8598      -1.3491   1
   21       2.5610      -1.7739   1
   22       2.2152      -1.9720   1
   23       1.8213      -2.0328   2
   24       1.4038      -1.8485   2
   25       0.9963      -1.5782   2
   26       0.6592      -1.2593   2
   27       0.3924      -1.0077   2
   28       0.2148      -0.6487   2
   29       0.1131      -0.4204   2
   30       0.0880      -0.1325   2
   31       0.1532       0.0943   8
   32       0.3240       0.1791   8
   33       0.4615       0.2469   8
   34       0.5547       0.3446   8
   35       0.6377       0.3666   8
   36       0.6809       0.3453   8
   37       0.7118       0.2770   8
   38       0.6738       0.1830   8
   39       0.5490       0.1060   8
   40       0.3934      -0.1916   1
   41       0.3182      -0.3111   1
   42       0.2127      -0.4385   2
   43       0.0753      -0.4684   2
   44      -0.0218      -0.4301   3
   45      -0.1297      -0.2812   3
   46      -0.2103      -0.1106   4
   47      -0.1357       0.1169   5
   48      -0.0596       0.3108   6
   49      -0.0171       0.4305   6
   50       0.0455       0.4407   7
   51       0.1412       0.4530   7
   52       0.2559       0.3093   7
   53       0.3096       0.0776   8
   54       0.3124      -0.0922   1
   55       0.4506      -0.3894   1
   56       0.5198      -0.5032   1
   57       0.4799      -0.6186   2
   58       0.4803      -0.7712   2
   59       0.4163      -0.8805   2
   60       0.3169      -1.0635   2
   61       0.1878      -1.2883   2
   62      -0.0123      -1.3915   3
   63      -0.2439      -1.3829   3
   64      -0.4989      -1.3771   3
   65      -0.7634      -1.3848   3
   66      -1.0461      -1.2775   3
   67      -1.2563      -1.1587   4
   68      -1.3316      -1.1384   4
   69      -1.3995      -0.9801   4
   70      -1.3587      -0.7041   4
   71      -1.3150      -0.4879   4
   72      -1.3128      -0.2534   4
   73      -1.2353       0.0256   5
   74      -1.1502       0.3070   5
   75      -0.9708       0.5524   5
   76      -0.7771       0.7878   6
   77      -0.5867       1.1577   6
   78      -0.3187       1.5501   6
   79       0.0440       1.7592   7
   80       0.4560       1.7614   7
   81       0.8067       1.6159   7
   82       1.1068       1.4059   7
   83       1.4288       1.0830   8
   84       1.7047       0.7598   8
   85       1.8814       0.3941   8
   86       1.9664       0.0031   8
   87       1.9419      -0.4674   1
   88       1.8501      -0.9458   1
   89       1.6335      -1.3280   1
   90       1.3643      -1.5825   2
   91       0.9788      -1.6987   2
   92       0.5970      -1.5448   2
   93       0.2957      -1.1776   2
   94       0.0774      -0.7725   2
   95      -0.0147      -0.4579   3
   96      -0.1264      -0.2314   3
   97      -0.1799       0.0045   5
   98      -0.1357       0.2829   6
   99       0.0278       0.4631   7
  100       0.2545       0.5818   7
  101       0.4833       0.7018   7
  102       0.6622       0.4886   8
  103       0.8007       0.2709   8
  104       0.8271      -0.0042   1
  105       0.7454      -0.2585   1
  106       0.5833      -0.4300   1
  107       0.4501      -0.3697   1
  108       0.2833      -0.2063   1
  109       0.1076       0.0768   8
  110       0.1578       0.3946   7
  111       0.2649       0.5679   7
  112       0.5095       0.7135   7
  113       0.7590       0.8155   7
  114       1.0097       0.7304   8
  115       1.2676       0.5251   8
  116       1.3923       0.2391   8
  117       1.4098      -0.3172   1
  118       1.2588      -0.6953   1
  119       0.9992      -1.0342   2
  120       0.6676      -1.2456   2
  121       0.2934      -1.3840   2
  122      -0.0764      -1.2733   3
  123      -0.3948      -1.1713   3
  124      -0.6350      -0.9165   3
  125      -0.7489      -0.5088   4
  126      -0.7328      -0.1534   4
  127      -0.6133       0.2359   5
  128      -0.4097       0.4386   6
  129      -0.2436       0.5027   6
  130       0.0198       0.3464   7
  131       0.1718      -0.0431   1
  132       0.1932      -0.4377   2
  133       0.0207      -0.6119   2
  134      -0.1981      -0.7991   3
  135      -0.4570      -0.7941   3
  136      -0.6586      -0.8139   3
  137      -0.8839      -0.6780   4
  138      -1.0297      -0.4799   4
  139      -1.0774      -0.2443   4
  140      -1.0964       0.0170   5
  141      -1.0499       0.3166   5
  142      -0.9286       0.7266   5
  143      -0.6633       1.0537   6
  144      -0.3446       1.1781   6
  145       0.0120       1.2296   7
  146       0.3746       1.1700   7
  147       0.6715       1.0391   7
  148       0.8738       0.8274   8
  149       1.0637       0.3997   8
  150       1.0708      -0.0650   1
  151       1.0648      -0.5425   1
  152       0.9742      -0.9896   2
  153       0.7755      -1.2808   2
  154       0.5258      -1.4682   2
  155       0.2344      -1.5643   2
  156      -0.0614      -1.5845   3
  157      -0.3299      -1.3609   3
  158      -0.5069      -1.1257   3
  159      -0.5981      -0.8867   3
  160      -0.6135      -0.6664   3
  161      -0.6055      -0.4929   4
  162      -0.5827      -0.3414   4
  163      -0.4750      -0.3391   4
  164      -0.3273      -0.5298   3
  165      -0.3361      -0.8758   3
  166      -0.4566      -1.1717   3
  167      -0.6074      -1.4632   3
  168      -0.9253      -1.7004   3
  169      -1.2859      -1.7891   3
  170      -1.6243      -1.7216   3
  171      -1.8714      -1.5982   4
  172      -2.1443      -1.2886   4
  173      -2.3674      -0.8956   4
  174      -2.4804      -0.3414   4
  175      -2.4408       0.2792   5
  176      -2.2699       0.8098   5
  177      -1.9962       1.3477   5
  178      -1.5981       1.6967   6
  179      -1.1295       1.9510   6
  180      -0.6429       2.0060   6
  181      -0.2175       1.9156   6
  182       0.1178       1.6988   7
  183       0.4370       1.4064   7
  184       0.6838       1.1107   7
