Effective equivalent stratospheric chlorine (EESC)
Follwing Newman et al. (2007). ACP, 7, 4537-4552. 
Eq.1 with a = 1 for each ODS, calculate Cl/Br atoms * halogen release efficiency * gas mmr. multiply Br ODS by 60, and add them all up. (n*f*rho)
Month -  EESC 5.5yr [ppt]
    1974.125    2317.285
    1974.208    2326.908
    1974.292    2336.592
    1974.375    2346.214
    1974.458    2355.957
    1974.542    2365.289
    1974.625    2374.971
    1974.708    2384.595
    1974.792    2394.219
    1974.875    2403.903
    1974.958    2413.525
    1975.042    2422.865
    1975.125    2432.035
    1975.208    2441.269
    1975.292    2450.558
    1975.375    2459.672
    1975.458    2468.962
    1975.542    2478.250
    1975.625    2487.369
    1975.708    2496.655
    1975.792    2505.941
    1975.875    2515.107
    1975.958    2524.349
    1976.042    2533.875
    1976.125    2543.799
    1976.208    2553.438
    1976.292    2563.308
    1976.375    2572.946
    1976.458    2582.874
    1976.542    2592.636
    1976.625    2602.562
    1976.708    2612.261
    1976.792    2622.014
    1976.875    2631.890
    1976.958    2641.634
    1977.042    2651.413
    1977.125    2661.330
    1977.208    2671.245
    1977.292    2681.214
    1977.375    2691.128
    1977.458    2700.985
    1977.542    2710.836
    1977.625    2720.753
    1977.708    2730.667
    1977.792    2740.636
    1977.875    2750.551
    1977.958    2760.467
    1978.042    2770.442
    1978.125    2780.542
    1978.208    2790.762
    1978.292    2800.905
    1978.375    2811.002
    1978.458    2821.218
    1978.542    2831.382
    1978.625    2841.601
    1978.708    2851.698
    1978.792    2861.845
    1978.875    2871.944
    1978.958    2882.160
    1979.042    2891.810
    1979.125    2900.901
    1979.208    2910.065
    1979.292    2919.208
    1979.375    2928.419
    1979.458    2937.458
    1979.542    2946.603
    1979.625    2955.814
    1979.708    2964.857
    1979.792    2973.951
    1979.875    2983.211
    1979.958    2992.254
    1980.042    3001.177
    1980.125    3009.951
    1980.208    3018.663
    1980.292    3027.326
    1980.375    3036.042
    1980.458    3044.811
    1980.542    3053.521
    1980.625    3062.355
    1980.708    3071.006
    1980.792    3079.669
    1980.875    3088.445
    1980.958    3097.155
    1981.042    3105.762
    1981.125    3114.554
    1981.208    3123.228
    1981.292    3131.917
    1981.375    3140.584
    1981.458    3149.380
    1981.542    3157.889
    1981.625    3166.683
    1981.708    3175.351
    1981.792    3184.041
    1981.875    3192.713
    1981.958    3201.503
    1982.042    3210.094
    1982.125    3218.758
    1982.208    3227.311
    1982.292    3235.930
    1982.375    3244.530
    1982.458    3253.144
    1982.542    3261.822
    1982.625    3270.436
    1982.708    3279.037
    1982.792    3287.655
    1982.875    3296.379
    1982.958    3304.872
    1983.042    3313.600
    1983.125    3322.515
    1983.208    3331.364
    1983.292    3340.276
    1983.375    3349.062
    1983.458    3358.033
    1983.542    3366.826
    1983.625    3375.734
    1983.708    3384.586
    1983.792    3393.494
    1983.875    3402.285
    1983.958    3411.256
    1984.042    3420.488
    1984.125    3429.969
    1984.208    3439.628
    1984.292    3449.285
    1984.375    3458.824
    1984.458    3468.424
    1984.542    3478.092
    1984.625    3487.572
    1984.708    3497.231
    1984.792    3506.888
    1984.875    3516.547
    1984.958    3526.027
    1985.042    3535.860
    1985.125    3546.034
    1985.208    3556.089
    1985.292    3566.200
    1985.375    3576.252
    1985.458    3586.426
    1985.542    3596.429
    1985.625    3606.594
    1985.708    3616.658
    1985.792    3626.766
    1985.875    3636.822
    1985.958    3646.995
    1986.042    3657.327
    1986.125    3667.989
    1986.208    3678.654
    1986.292    3689.370
    1986.375    3700.035
    1986.458    3710.697
    1986.542    3721.364
    1986.625    3732.029
    1986.708    3742.691
    1986.792    3753.407
    1986.875    3764.072
    1986.958    3774.734
    1987.042    3785.975
    1987.125    3798.032
    1987.208    3809.965
    1987.292    3821.976
    1987.375    3833.969
    1987.458    3845.960
    1987.542    3857.779
    1987.625    3869.896
    1987.708    3881.766
    1987.792    3893.776
    1987.875    3905.711
    1987.958    3917.764
    1988.042    3929.583
    1988.125    3941.537
    1988.208    3953.542
    1988.292    3965.487
    1988.375    3977.307
    1988.458    3989.324
    1988.542    4001.257
    1988.625    4013.215
    1988.708    4025.157
    1988.792    4037.102
    1988.875    4049.049
    1988.958    4061.001
    1989.042    4072.388
    1989.125    4083.515
    1989.208    4094.572
    1989.292    4105.711
    1989.375    4116.775
    1989.458    4127.898
    1989.542    4138.858
    1989.625    4149.982
    1989.708    4161.039
    1989.792    4172.178
    1989.875    4183.242
    1989.958    4194.363
    1990.042    4204.216
    1990.125    4212.906
    1990.208    4221.429
    1990.292    4230.187
    1990.375    4238.758
    1990.458    4247.448
    1990.542    4256.145
    1990.625    4264.884
    1990.708    4273.454
    1990.792    4282.212
    1990.875    4290.735
    1990.958    4299.425
    1991.042    4306.874
    1991.125    4313.148
    1991.208    4319.251
    1991.292    4325.524
    1991.375    4331.627
    1991.458    4337.900
    1991.542    4344.053
    1991.625    4350.327
    1991.708    4356.430
    1991.792    4362.703
    1991.875    4368.809
    1991.958    4375.080
    1992.042    4380.690
    1992.125    4385.596
    1992.208    4390.623
    1992.292    4395.709
    1992.375    4400.608
    1992.458    4405.632
    1992.542    4410.706
    1992.625    4415.731
    1992.708    4420.634
    1992.792    4425.719
    1992.875    4430.744
    1992.958    4435.648
    1993.042    4439.230
    1993.125    4441.266
    1993.208    4443.186
    1993.292    4445.337
    1993.375    4447.256
    1993.458    4449.289
    1993.542    4451.383
    1993.625    4453.419
    1993.708    4455.337
    1993.792    4457.488
    1993.875    4459.408
    1993.958    4461.446
